display_taxon	NPT03	NPT05	NPT06	NPT07	NPT09	NPT10	NPT11	NPT12	NPT13	NPT14	NPT15	NPT17	NPT18	NPT19	NPT20	NPT22	NPT23	NPT24	NPT25	PT01	PT02	PT03	PT04	PT05	PT06	PT07	PT08	PT09	PT10	PT11	PT12	PT13	PT14	PT15	PT16	PT17	PT18	PT19	PT20	PT21	PT22	PT23	PT24	PT25
Bifidobacterium vaginale A	0.02447839658288155	0.0	0.0	0.0	0.002557425834650795	0.0	0.0	0.0	0.0	0.0	0.0	0.0026763729793384005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15023847376788554	0.0	0.0	0.0	0.0	0.0037088548910523874	0.0	0.0	0.0	0.0	0.0	0.0	0.0010603985331153626	0.0	0.01469504103799086	0.0	0.011767976278724982	0.008397123637207144	0.0177367860943597	0.0	0.0006594566077552098
Bifidobacterium vaginale B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012967015155198963	0.08221817792527567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015259660349495446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium vaginale C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006558028616852146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium vaginale D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004862630683199611	0.21346750883203083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.63948332369385e-05	0.0	0.0	0.0	0.0	0.0012313585989875496	0.0	0.0	0.017364657814096015	0.0	0.0	0.0	0.0	0.0	0.0	9.2824654228163e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium vaginale E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028731700643042824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium vaginale F	0.007885657959586003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005365659777424483	0.0	0.0	0.0019154467095361882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.8294588882882e-05	0.0	0.0027798369162342477	0.0017629320343307817	0.0	0.0	0.0
Bifidobacterium vaginale H	0.0	0.0	0.0	0.0	0.003394401562354692	0.0	0.0	0.0	8.329168748958855e-05	0.0	0.0	0.0	0.0	0.0	2.515217063232557e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06140699523052464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002260775544306286	7.361601884570082e-05	0.07171979243884359	0.08137323126884713	0.05533877261440227	0.0	0.0
Bifidobacterium_388775 bifidum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000192789666473877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000983767830791933	0.0	0.0	0.0	0.00044169611307420494	0.0	0.0	0.0	0.0	0.0
Bifidobacterium_388775 breve	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00036808009422850414	0.0	0.0	0.0	0.0	0.0
Bifidobacterium_388775 swidsinskii	0.0049285362247412515	0.0	0.0	0.0	0.0007904770761647912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004727610126805991	0.0	0.000589767533297292	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium_388775 vaginale	0.05561031706916379	6.248828344685372e-05	0.00013049719431032232	0.0	0.0019529433646424254	0.00032102728731942215	0.00013754527531979277	0.0	0.0	0.0	0.0011346138260799091	0.01777111658280698	0.0	0.0	7.545651189697672e-05	0.0	0.0	0.0	0.0	0.03884426327778444	0.16752221125370187	0.17389627915943706	0.23658094120157935	0.05206677265500795	0.0	0.0	0.0	0.0025426807119505995	0.004945139854736517	0.0005107252298263534	0.02510460251046025	0.0010843046896177825	0.0001378929950358522	0.0	0.0	0.0076878893650863785	0.0	0.001523566127684671	0.05653710247349823	0.12351742031134173	0.11301322199025748	0.08064325410902211	0.0	0.0029016090741229225
Bulleidia extructa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.266123054114158e-05	0.0006495012758060774	0.0008277166844034528	0.0	0.0
Burkholderia contaminans	0.0	0.0	0.0	0.0	0.0	0.00021401819154628142	0.0	0.0	0.0	0.0	0.0	0.00021410983834707205	0.0003687068445397868	0.0002681324574339724	0.0	0.0	0.0	4.79225571476494e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002461235540241201	0.20574681485497426	0.0001378929950358522	0.0	0.0	0.0	0.0	0.0	0.0002944640753828033	0.0027798369162342477	0.0	0.0005912262031453234	0.0	0.0
Burkholderia-Caballeronia-Paraburkholderia (genus)	0.0	0.0	0.0	0.0	0.0	0.0005350454788657035	0.0	0.0	0.0	0.0	0.0	0.0	0.0006703760809814306	0.0008937748581132412	7.545651189697672e-05	0.0	0.00012140342357654485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012306177701206006	0.6017891027378693	6.89464975179261e-05	0.0	0.0	4.4183272213140104e-05	0.0	0.0	0.0011042402826855124	0.004355077835433654	4.639294827186268e-05	0.00011824524062906468	0.0	0.0
Burkholderia-Caballeronia-Paraburkholderia arboris	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006776904310111141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Caballeronia concitans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004914004914004914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridium_T colicanis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026513702995538558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019027484143763213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Corynebacterium pyruviciproducens	0.0	0.0	0.0	0.0	0.0	0.0016051364365971107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cryptobacteroides sp022777585	0.0	0.0	0.0	0.0	0.002371431228494374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01081749343223613	0.0017024174327545114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dialister (genus)	0.0	0.0	0.0	0.0	0.00023249325769552682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dialister micraerophilus	0.0	0.0	0.0	0.0	0.0004184878638519483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dialister_37762 micraerophilus	0.004764251683916544	0.00018746485034056115	0.0	0.0	0.001022970333860318	0.0	4.584842510659759e-05	0.0	0.0	0.0	0.011021962881919119	0.01530885344181565	3.351880404907153e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.004196139551612517	0.0	0.0002891844997108155	0.0	0.0	0.00010570824524312896	0.00031542424561034594	0.0012313585989875496	0.000242160067804819	0.002163498686447226	0.003575076608784474	0.0006153088850603003	0.0	0.0	0.0	0.006886374815543532	0.002076613794017585	0.0	0.005553644271882833	0.0089811542991755	0.020385470719051148	0.030062630480167014	0.054392810689369755	0.0	0.0013189132155104195
Dialister_37762 sp001553355	0.003942828979793002	0.0	0.0	0.0	0.0023249325769552683	0.0	0.0	0.0	0.0	0.0	0.0	0.00835028369553581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006713823282580026	0.0	0.0	0.0	0.001987281399046105	0.0	0.0	0.0009577233547680941	0.0007870202203656617	0.004945139854736517	0.0018726591760299626	0.0	0.0002710761724044456	0.0	0.0	0.014756517461878997	0.0019440639773781647	0.0	0.001179535066594584	0.0	0.008246849518161601	0.010716771050800279	0.016790824169327184	0.0	0.001978369823265629
Enterobacter (genus)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0037047076895274237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterobacter hormaechei	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.351880404907153e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021776452516490467	0.0	0.0	0.0	0.0	0.0	0.0	0.00022084805653710247	0.0004633061527057079	0.0	0.0	0.0	0.0
Enterobacter_B_681665 hormaechei_681663	0.0	0.0	0.0	0.0	0.0	0.0	4.584842510659759e-05	0.0	0.0	0.0	0.0	0.0	3.351880404907153e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00012306177701206005	0.022499322309568987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005559673832468495	0.0	0.0	0.0	0.0
Enterobacter_B_713587 hormaechei_712470	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014457395861570434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterobacteriaceae (family)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002620402999909641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus faecalis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00231311113447587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus faecium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014077340569877883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus xinjiangensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004240162822252374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_B lactis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01051560379918589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_H_360604 faecalis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005467353590579329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Escherichia albertii	0.0	0.0	0.0	0.0	0.0	0.0027822364901016585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Escherichia flexneri	0.0	0.0	0.0	0.0	0.0	0.002140181915462814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Escherichia-Shigella coli	0.0	0.0	0.0	0.0	0.0	0.012306046013911182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Escherichia-Shigella flexneri	0.0	0.0	0.0	0.0	0.0	0.0052434456928838954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fannyhessea massiliensis	0.0004928536224741252	0.0	0.0	0.0	0.0002789919092346322	0.0	0.0	0.0	0.0	0.0	0.0	0.0005352745958676801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00215801462654358	0.0	0.0	0.0	0.0037758346581875995	0.0	0.0	0.00013681762210972773	0.00018162005085361425	0.0012362849636841293	0.001191692202928158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005467012601927354	0.005056831361633032	0.007567695400260139	0.0	0.0
Fannyhessea vaginae	0.028339083292262198	0.0	0.0	0.0	0.0030689110015809542	0.0	0.0	0.0	0.0	0.0	0.0017019207391198638	0.09774114120543839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012948087759261479	0.0	0.0	0.0	0.0759141494435612	0.0	0.0	0.0019154467095361882	0.0010897203051216855	0.0026271055478287743	0.0022131426625808647	0.01685946345065223	0.0	0.0	0.0	0.01705197573372684	0.013299164936155171	9.2824654228163e-05	0.0	0.002134864546525324	0.005189028910303929	0.005335189051264208	0.01087856213787395	0.0032232070910556	0.008309153257715642
Finegoldia magna_H	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012140342357654485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fusobacterium_C animalis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005365659777424483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gaiella occulta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016208768943998703	0.0	0.0	8.937748581132413e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003279226102639777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gardnerella (genus)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007511156276233818	0.0	0.001376124244360348	0.0	0.0	0.0	0.0	0.0	0.0
Gardnerella vaginalis	0.1671595202891408	0.0	0.000391491582930967	0.00030880082346886257	0.04761461917604389	0.00021401819154628142	0.0	0.00026962483629920653	0.0	0.0	0.02325958343463814	0.11754630125254255	0.002111684655091506	0.0002234437145283103	7.545651189697672e-05	0.0	0.0	0.0	0.0	0.4311233665028174	0.1347482724580454	0.1369770580296896	0.1522783054103084	0.040937996820349765	0.0007399577167019028	0.00021028283040689727	0.022574907648105075	0.019554425475239133	0.13089167053005718	0.26591760299625467	0.01858232832882107	0.08764796241077076	0.00020683949255377826	0.0	0.6222331529758977	0.5087261962620951	0.001021071196509793	0.6468766894382464	0.005889281507656066	0.021312083024462566	0.013314776154024589	0.01820976705687596	0.012087026591458501	0.09298338169348457
Gemella asaccharolytica	0.0014785608674223755	0.0	0.0	0.0	0.000511485166930159	0.0	0.0	0.0	0.0	0.0	0.0	0.13167755058344932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00755305119290253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006054001695120475	0.0	0.0017024174327545114	0.0	0.0	0.0001378929950358522	0.0	0.0	0.00030928290549198074	0.0	0.002604806605396373	0.0	0.01769829503335804	0.02008814660171654	0.03204446021047653	0.0	0.0
Hoylesella (genus)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015022312552467635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KA00274 sp001552885	0.0035321176277312307	0.0	0.0	0.0	0.0005579838184692644	0.0	0.0	0.0	0.0	0.0	0.0	0.026870784712557542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0905167246133557	0.0	0.0	0.0	0.0	0.0	0.0	0.00013681762210972773	0.003632401017072285	0.01978055941894607	0.0020429009193054137	0.0	0.0	0.0	0.0	0.0	0.002474263243935846	0.0	0.005209613210792746	0.0	0.060044477390659746	0.06903270702853166	0.06136927988648457	0.0	0.0015826958586125032
Klebsiella_724518 granulomatis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09956892019766586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5395183175033921	0.00016396130513198886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Klebsiella_724518 variicola	0.0	0.0007498594013622446	0.00026099438862064463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.846243788365975e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1830054274084125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lactobacillales (order)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002544097693351425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lactobacillus (genus)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017907712810261535	0.0	0.0005673069130399546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020475020475020475	0.0	0.0	0.00645845382687488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002506265664160401	0.0	0.00979093050647821	0.0	0.0	0.0	0.0	0.0
