#TAXONOMY	display_taxon	Species	Genus	Family	Order	Class	Phylum	Kingdom
68b7fda9214bd229d5651ab1c01a2ec4	Gardnerella (genus)	 Unclassified	 Gardnerella	 Bifidobacteriaceae	 Bifidobacteriales	 Actinobacteria	 Actinomycetota	Bacteria
1329c09d87620ef72795b0475eb26961	Lactobacillus iners	 Lactobacillus iners	 Lactobacillus	 Lactobacillaceae	 Lactobacillales	 Bacilli_A	 Bacillota_I	Bacteria
fb6d2c89bc12afbd05b324544ed7e444	Prevotella buccalis	 Prevotella buccalis	 Prevotella	 Bacteroidaceae	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
05ad1e7e65e363d513e93db5b9287252	Prevotella buccalis	 Prevotella buccalis	 Prevotella	 Bacteroidaceae	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
55bba1821bd07dba2ec81fcdcd483971	Prevotella buccalis	 Prevotella buccalis	 Prevotella	 Bacteroidaceae	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
1cc526b6505ca733cf6c67292b007e0d	Prevotella melaninogenica	 Prevotella melaninogenica	 Prevotella	 Bacteroidaceae	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
e27df2483ae47c1e97f095c3a3a9a1eb	Peptostreptococcus sp000758885	 Peptostreptococcus sp000758885	 Peptostreptococcus	 Peptostreptococcaceae	 Peptostreptococcales	 Clostridia	 Bacillota_A	Bacteria
61cb2c43fd9ab2fd76e076a3d2a2c124	UBA629 sp005465875	 UBA629 sp005465875	 UBA629	 Lachnospiraceae	 Lachnospirales	 Clostridia_258483	 Bacillota_A_368345	Bacteria
52b96901fca118df978a296ced2d9ce0	Clostridium_T colicanis	 Clostridium_T colicanis	 Clostridium_T	 Clostridiaceae_222000	 Clostridiales	 Clostridia_258483	 Bacillota_A_368345	Bacteria
70df2ce4ac9896f840be1b150bd6037c	Fusobacterium_C animalis	 Fusobacterium_C animalis	 Fusobacterium_C	 Fusobacteriaceae	 Fusobacteriales	 Fusobacteriia	 Fusobacteriota	Bacteria
c86fe13610003886f2a43c5060d448c9	Anaerococcus sp900258475	 Anaerococcus sp900258475	 Anaerococcus	 Peptoniphilaceae	 Tissierellales	 Clostridia	 Bacillota_A	Bacteria
0dccfbe059fa2df039662c55271827f9	Lactobacillus iners	 Lactobacillus iners	 Lactobacillus	 Lactobacillaceae	 Lactobacillales	 Bacilli_A	 Bacillota_I	Bacteria
876206e67f0732449898f082c816b0e5	Porphyromonas_A uenonis	 Porphyromonas_A uenonis	 Porphyromonas_A	 Porphyromonadaceae	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
e99eab314ddf03a2946c154ee367bc2f	Prevotella timonensis A	 Prevotella timonensis A	 Prevotella	 Bacteroidaceae	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
453df7f85638632561852655b29938ad	Prevotella timonensis A	 Prevotella timonensis A	 Prevotella	 Bacteroidaceae	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
da6530fd3c72a4da34f38551f20cc242	Bacilli (class)	 Unclassified	 Unclassified	 Unclassified	 Unclassified	 Bacilli	 Bacillota	Bacteria
