task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
68	d9/e28da3	56572	pb16S:cutadapt (23)	CACHED	0	2025-02-25 14:44:52.369	3.5s	408ms	341.5%	20.3 MB	40.6 MB	60.9 MB	57.9 MB
92	ff/69f088	45707	pb16S:QC_fastq (43)	CACHED	0	2025-02-25 14:41:55.164	2.1s	128ms	182.6%	3.5 MB	12.3 MB	2.2 MB	857.9 KB
79	d0/2cf884	73763	pb16S:QC_fastq_post_trim (19)	CACHED	0	2025-02-25 14:46:49.017	2.1s	140ms	205.0%	34.4 MB	1.4 GB	9.2 MB	2.2 MB
95	d2/4d4fa8	75854	pb16S:QC_fastq_post_trim (24)	CACHED	0	2025-02-25 14:46:59.624	2.1s	95ms	188.2%	41.8 MB	1.4 GB	5.5 MB	1.4 MB
94	3d/5afff5	45260	pb16S:QC_fastq (44)	CACHED	0	2025-02-25 14:41:52.824	2.3s	275ms	228.1%	34.1 MB	1.4 GB	12.9 MB	5 MB
97	91/b1c720	56132	pb16S:cutadapt (22)	CACHED	0	2025-02-25 14:44:48.831	3.5s	546ms	446.6%	19.5 MB	40.3 MB	113.4 MB	110.2 MB
96	be/553884	58319	pb16S:cutadapt (27)	CACHED	0	2025-02-25 14:45:06.238	3.4s	459ms	360.5%	20.1 MB	40.4 MB	84.5 MB	81.7 MB
86	eb/19da37	55257	pb16S:cutadapt (20)	CACHED	0	2025-02-25 14:44:41.858	3.5s	529ms	467.7%	20.3 MB	40.6 MB	102.1 MB	98.3 MB
83	c2/9f0818	43868	pb16S:QC_fastq (40)	CACHED	0	2025-02-25 14:41:44.485	2.6s	599ms	236.8%	33.4 MB	1.4 GB	34.5 MB	12.9 MB
81	88/0fc6a8	60101	pb16S:cutadapt (31)	CACHED	0	2025-02-25 14:45:20.151	3.5s	498ms	392.1%	20.2 MB	40.4 MB	76.3 MB	72.9 MB
74	0b/053630	37120	pb16S:QC_fastq (35)	CACHED	0	2025-02-25 14:41:05.271	2.5s	370ms	227.8%	33.7 MB	1.4 GB	18 MB	6.8 MB
91	40/7158cb	44811	pb16S:QC_fastq (42)	CACHED	0	2025-02-25 14:41:50.395	2.4s	428ms	219.7%	33.1 MB	1.4 GB	20.9 MB	7.8 MB
85	c9/5b4c82	58755	pb16S:cutadapt (28)	CACHED	0	2025-02-25 14:45:09.670	3.4s	435ms	350.6%	20.1 MB	40.3 MB	75.8 MB	72.9 MB
98	db/cd9a96	55694	pb16S:cutadapt (21)	CACHED	0	2025-02-25 14:44:45.355	3.5s	484ms	414.2%	20 MB	40.6 MB	89.4 MB	86.5 MB
82	48/980511	43421	pb16S:QC_fastq (39)	CACHED	0	2025-02-25 14:41:41.684	2.8s	679ms	229.8%	33.6 MB	1.4 GB	37.2 MB	14.5 MB
59	6d/a945f1	40240	pb16S:QC_fastq (31)	CACHED	0	2025-02-25 14:41:22.439	2.3s	306ms	229.9%	32.9 MB	1.4 GB	14.5 MB	5.8 MB
88	69/d6020f	63600	pb16S:cutadapt (37)	CACHED	0	2025-02-25 14:45:49.025	3.5s	476ms	373.7%	19.9 MB	40.3 MB	93.3 MB	90.6 MB
99	a9/0dd504	77943	pb16S:QC_fastq_post_trim (29)	CACHED	0	2025-02-25 14:47:10.096	2.1s	137ms	209.3%	35.5 MB	1.4 GB	9.5 MB	2.3 MB
102	4f/ad24d4	80447	pb16S:QC_fastq_post_trim (35)	CACHED	0	2025-02-25 14:47:22.730	2.1s	90ms	197.5%	34.5 MB	1.4 GB	5.5 MB	1.2 MB
101	5d/b58fae	61409	pb16S:cutadapt (34)	CACHED	0	2025-02-25 14:45:30.654	3.5s	529ms	419.5%	20.2 MB	40.4 MB	116.1 MB	113.3 MB
105	7c/d445e7	73344	pb16S:QC_fastq_post_trim (18)	CACHED	0	2025-02-25 14:46:46.869	2.1s	163ms	212.9%	34.3 MB	1.4 GB	10.6 MB	2.8 MB
103	e8/51b87e	79198	pb16S:QC_fastq_post_trim (32)	CACHED	0	2025-02-25 14:47:16.419	2.1s	134ms	205.3%	40.1 MB	1.4 GB	8.3 MB	1.9 MB
108	d6/50306b	75438	pb16S:QC_fastq_post_trim (23)	CACHED	0	2025-02-25 14:46:57.540	2.1s	85ms	185.8%	34.5 MB	1.4 GB	4.7 MB	1 MB
